GeoID,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,API_PopTot,API_Cases,API_AAIR,API_LCI,API_UCI,AIAN_PopTot,AIAN_Cases,AIAN_AAIR,AIAN_LCI,AIAN_UCI,GeoName,GeoType
US,Both,AllSite,05yrs,1635299861,8833690,444.6,444.3,444.9,996790386,6603692,463.2,462.8,463.6,216359258,966084,447.9,447,448.8,302941138,781961,349.9,349.1,350.7,105639160,315023,292.8,291.7,293.8,13569919,55255,407.8,404.2,411.3,United States,Nationwide
US,Female,AllSite,05yrs,824415567,4335786,421.3,420.9,421.7,501619202,3192369,441.3,440.8,441.8,112122675,476585,401.2,400,402.4,149180563,417431,347.3,346.2,348.4,54613297,177646,301.8,300.4,303.2,6879830,28792,404.8,400,409.7,United States,Nationwide
US,Male,AllSite,05yrs,810884294,4497904,481.4,480.9,481.8,495171184,3411323,497.8,497.2,498.3,104236583,489499,518.2,516.7,519.8,153760575,364530,365.2,363.9,366.5,51025863,137377,288,286.5,289.6,6690089,26463,418,412.7,423.3,United States,Nationwide
US,Both,Lung,05yrs,1635299861,1099683,53.3,53.2,53.4,996790386,883923,57.7,57.5,57.8,216359258,116338,54.8,54.5,55.1,302941138,54051,27.8,27.6,28.1,105639160,34064,32.6,32.2,32.9,13569919,7334,54.2,52.9,55.5,United States,Nationwide
US,Female,Lung,05yrs,824415567,541339,48.5,48.4,48.6,501619202,438718,53.8,53.6,53.9,112122675,54696,44.8,44.5,45.2,149180563,26269,24.2,23.9,24.5,54613297,16047,27.5,27.1,27.9,6879830,3804,51.8,50.1,53.5,United States,Nationwide
US,Male,Lung,05yrs,810884294,558344,59.6,59.5,59.8,495171184,445205,63,62.8,63.2,104236583,61642,69.3,68.7,69.8,153760575,27782,33.1,32.7,33.5,51025863,18017,39.3,38.7,39.9,6690089,3530,57.6,55.6,59.6,United States,Nationwide
US,Female,Breast,05yrs,824415567,1307936,129.8,129.5,130,501619202,952205,135.6,135.4,135.9,112122675,151837,128.8,128.1,129.5,149180563,123536,101,100.4,101.6,54613297,62464,105.1,104.3,105.9,6879830,7721,108.2,105.7,110.7,United States,Nationwide
US,Male,Prostate,05yrs,810884294,1137313,113.1,112.9,113.3,495171184,808734,107.8,107.6,108.1,104236583,180579,179.7,178.8,180.5,153760575,84070,86.9,86.2,87.5,51025863,28712,59.1,58.4,59.9,6690089,5224,79.1,76.8,81.3,United States,Nationwide
US,Both,CRC,05yrs,1635299861,710100,36.4,36.3,36.5,996790386,508903,36.6,36.5,36.7,216359258,86266,41,40.7,41.3,302941138,72635,32.8,32.6,33.1,105639160,30266,28.2,27.9,28.6,13569919,5523,41.3,40.2,42.4,United States,Nationwide
US,Female,CRC,05yrs,824415567,334058,32.1,32,32.2,501619202,239295,32.3,32.2,32.5,112122675,41873,35.6,35.2,35.9,149180563,33214,28.4,28.1,28.7,54613297,14233,24.4,24,24.8,6879830,2614,37,35.6,38.5,United States,Nationwide
US,Male,CRC,05yrs,810884294,376042,41.4,41.3,41.5,495171184,269608,41.3,41.1,41.5,104236583,44393,48.5,48,49,153760575,39421,38.3,37.9,38.7,51025863,16033,33,32.4,33.5,6690089,2909,46.2,44.4,48,United States,Nationwide
US,Both,Urinary,05yrs,1635299861,380764,18.8,18.8,18.9,996790386,323373,21.4,21.3,21.5,216359258,22938,11.4,11.3,11.6,302941138,20164,10.6,10.4,10.7,105639160,8212,8.1,7.9,8.2,13569919,1496,11.6,11,12.2,United States,Nationwide
US,Female,Urinary,05yrs,824415567,89987,8.1,8,8.2,501619202,73980,9.1,9,9.1,112122675,7314,6.3,6.1,6.4,149180563,5326,5,4.8,5.1,54613297,1982,3.4,3.3,3.6,6879830,368,5.2,4.7,5.8,United States,Nationwide
US,Male,Urinary,05yrs,810884294,290777,32.5,32.4,32.6,495171184,249393,36.6,36.5,36.8,104236583,15624,19.1,18.8,19.4,153760575,14838,18,17.7,18.3,51025863,6230,14.1,13.8,14.5,6690089,1128,19.6,18.4,20.9,United States,Nationwide
US,Both,Mela,05yrs,1635299861,438204,22.7,22.6,22.8,996790386,402932,29.9,29.8,30,216359258,1869,0.9,0.9,1,302941138,10528,4.7,4.6,4.8,105639160,1330,1.2,1.2,1.3,13569919,1186,9,8.5,9.5,United States,Nationwide
US,Female,Mela,05yrs,824415567,179883,18.4,18.3,18.4,501619202,162671,24.9,24.8,25.1,112122675,1013,0.9,0.8,0.9,149180563,5819,4.8,4.6,4.9,54613297,683,1.2,1.1,1.2,6879830,524,7.5,6.9,8.2,United States,Nationwide
US,Male,Mela,05yrs,810884294,258321,28.7,28.5,28.8,495171184,240261,36.6,36.4,36.7,104236583,856,1,0.9,1.1,153760575,4709,4.9,4.7,5,51025863,647,1.4,1.3,1.5,6690089,662,10.9,10.1,11.9,United States,Nationwide
US,Both,Kidney,05yrs,1635299861,341382,17.3,17.3,17.4,996790386,245487,17.5,17.5,17.6,216359258,40766,18.8,18.6,19,302941138,40463,17.6,17.5,17.8,105639160,8843,8.1,8,8.3,13569919,3541,25.8,24.9,26.7,United States,Nationwide
US,Female,Kidney,05yrs,824415567,123824,12,11.9,12.1,501619202,86378,12,11.9,12,112122675,16137,13.4,13.2,13.6,149180563,15989,13.2,13,13.5,54613297,3232,5.5,5.3,5.7,6879830,1363,18.8,17.8,19.9,United States,Nationwide
US,Male,Kidney,05yrs,810884294,217558,23.4,23.3,23.5,495171184,159109,23.7,23.6,23.9,104236583,24629,25.6,25.2,25.9,153760575,24474,22.8,22.5,23.1,51025863,5611,11.3,11,11.6,6690089,2178,33.8,32.3,35.3,United States,Nationwide
US,Both,NHL,05yrs,1635299861,362045,18.5,18.4,18.6,996790386,275317,19.4,19.3,19.5,216359258,29033,13.8,13.7,14,302941138,38080,17.3,17.1,17.5,105639160,13757,13,12.7,13.2,13569919,1893,14.2,13.6,14.9,United States,Nationwide
US,Female,NHL,05yrs,824415567,161467,15.4,15.3,15.4,501619202,120862,16,15.9,16.1,112122675,13714,11.7,11.5,11.9,149180563,17830,15.3,15.1,15.5,54613297,6391,10.9,10.7,11.2,6879830,902,12.7,11.9,13.6,United States,Nationwide
US,Male,NHL,05yrs,810884294,200578,22.3,22.2,22.4,495171184,154455,23.5,23.4,23.6,104236583,15319,16.6,16.3,16.8,153760575,20250,19.9,19.6,20.2,51025863,7366,15.5,15.2,15.9,6690089,991,16,15,17.1,United States,Nationwide
US,Both,Leuks,05yrs,1635299861,268499,14.1,14,14.1,996790386,204854,14.9,14.9,15,216359258,22365,10.8,10.6,10.9,302941138,27683,11.4,11.3,11.6,105639160,8333,8,7.8,8.2,13569919,1573,11.9,11.3,12.6,United States,Nationwide
US,Female,Leuks,05yrs,824415567,111653,11,11,11.1,501619202,83089,11.6,11.5,11.6,112122675,10444,9,8.8,9.2,149180563,12301,9.7,9.5,9.9,54613297,3597,6.4,6.2,6.6,6879830,700,10.1,9.4,10.9,United States,Nationwide
US,Male,Leuks,05yrs,810884294,156846,17.8,17.7,17.9,495171184,121765,19,18.9,19.1,104236583,11921,13.3,13,13.5,153760575,15382,13.6,13.3,13.8,51025863,4736,10,9.7,10.3,6690089,873,14.2,13.2,15.2,United States,Nationwide
US,Female,Uterine,05yrs,824415567,295923,27.8,27.7,27.9,501619202,208044,27.7,27.6,27.9,112122675,37098,29.3,29,29.6,149180563,32847,26.3,26,26.6,54613297,13450,22.1,21.7,22.4,6879830,1922,26.5,25.3,27.8,United States,Nationwide
US,Both,Pancreas,05yrs,1635299861,273864,13.5,13.4,13.5,996790386,202303,13.5,13.4,13.5,216359258,34131,16.4,16.2,16.5,302941138,24493,12.1,11.9,12.2,105639160,10073,9.7,9.5,9.9,13569919,1678,12.6,11.9,13.2,United States,Nationwide
US,Female,Pancreas,05yrs,824415567,131487,11.9,11.9,12,501619202,94366,11.7,11.6,11.7,112122675,18064,15.2,15,15.4,149180563,12385,11.3,11.1,11.5,54613297,5260,9.1,8.9,9.4,6879830,848,11.9,11.1,12.7,United States,Nationwide
US,Male,Pancreas,05yrs,810884294,142377,15.3,15.3,15.4,495171184,107937,15.6,15.5,15.7,104236583,16067,17.8,17.6,18.1,153760575,12108,12.9,12.7,13.2,51025863,4813,10.4,10.1,10.7,6690089,830,13.3,12.3,14.2,United States,Nationwide
US,Both,Oral,05yrs,1635299861,242705,12,11.9,12,996790386,194013,13.4,13.4,13.5,216359258,18764,8.4,8.3,8.6,302941138,16500,7.3,7.2,7.4,105639160,9053,8.2,8.1,8.4,13569919,1583,11.2,10.6,11.8,United States,Nationwide
US,Female,Oral,05yrs,824415567,69330,6.6,6.5,6.6,501619202,53469,7.2,7.1,7.2,112122675,5878,4.9,4.7,5,149180563,5432,4.6,4.5,4.7,54613297,3153,5.3,5.1,5.5,6879830,441,6.2,5.6,6.8,United States,Nationwide
US,Male,Oral,05yrs,810884294,173375,18,17.9,18.1,495171184,140544,20.2,20.1,20.3,104236583,12886,13,12.8,13.3,153760575,11068,10.5,10.3,10.7,51025863,5900,11.8,11.5,12.1,6690089,1142,16.8,15.8,17.9,United States,Nationwide
US,Both,Thyroid,05yrs,1635299861,224352,12.9,12.9,13,996790386,151926,13.6,13.6,13.7,216359258,16538,7.8,7.6,7.9,302941138,35171,13.1,13,13.3,105639160,15791,14.2,13.9,14.4,13569919,1654,12.6,12,13.3,United States,Nationwide
US,Female,Thyroid,05yrs,824415567,163858,19,18.9,19.1,501619202,106807,19.8,19.6,19.9,112122675,13188,11.6,11.4,11.8,149180563,27878,20.7,20.4,20.9,54613297,12229,20.8,20.4,21.2,6879830,1290,19.5,18.4,20.6,United States,Nationwide
US,Male,Thyroid,05yrs,810884294,60494,6.9,6.8,6.9,495171184,45119,7.6,7.6,7.7,104236583,3350,3.4,3.3,3.6,153760575,7293,5.8,5.7,5.9,51025863,3562,6.8,6.6,7.1,6690089,364,5.7,5.1,6.3,United States,Nationwide
US,Both,Liver,05yrs,1635299861,181345,8.6,8.6,8.7,996790386,113318,7.4,7.3,7.4,216359258,23225,10,9.9,10.1,302941138,29612,13.7,13.6,13.9,105639160,12063,11.2,11,11.4,13569919,2163,14.8,14.2,15.5,United States,Nationwide
US,Female,Liver,05yrs,824415567,54315,4.9,4.9,5,501619202,33368,4.2,4.2,4.3,112122675,6763,5.4,5.2,5.5,149180563,9443,8.5,8.3,8.7,54613297,3729,6.4,6.2,6.6,6879830,726,9.6,8.9,10.3,United States,Nationwide
US,Male,Liver,05yrs,810884294,127030,12.8,12.8,12.9,495171184,79950,10.9,10.8,11,104236583,16462,16,15.7,16.2,153760575,20169,19.8,19.5,20.1,51025863,8334,17.1,16.7,17.5,6690089,1437,20.9,19.8,22,United States,Nationwide
US,Both,Myeloma,05yrs,1635299861,142792,7.1,7.1,7.1,996790386,92395,6.2,6.2,6.3,216359258,29999,14.4,14.3,14.6,302941138,14061,6.7,6.6,6.8,105639160,4206,4,3.8,4.1,13569919,916,6.8,6.4,7.3,United States,Nationwide
US,Female,Myeloma,05yrs,824415567,63347,5.8,5.8,5.9,501619202,38880,4.9,4.8,4.9,112122675,15139,12.8,12.6,13,149180563,6501,5.8,5.6,5.9,54613297,1865,3.2,3.1,3.4,6879830,434,6.1,5.5,6.7,United States,Nationwide
US,Male,Myeloma,05yrs,810884294,79445,8.6,8.6,8.7,495171184,53515,7.8,7.7,7.9,104236583,14860,16.9,16.6,17.2,153760575,7560,8,7.8,8.2,51025863,2341,5,4.8,5.2,6690089,482,7.7,7,8.4,United States,Nationwide
US,Both,Brain,05yrs,1635299861,115962,6.3,6.3,6.4,996790386,88570,7.2,7.1,7.2,216359258,8656,4,4,4.1,302941138,13198,5.2,5.1,5.3,105639160,3976,3.8,3.7,3.9,13569919,675,5.1,4.7,5.5,United States,Nationwide
US,Female,Brain,05yrs,824415567,50762,5.3,5.3,5.4,501619202,38304,6,6,6.1,112122675,4029,3.5,3.4,3.6,149180563,5995,4.6,4.5,4.8,54613297,1756,3.1,3,3.3,6879830,299,4.3,3.8,4.8,United States,Nationwide
US,Male,Brain,05yrs,810884294,65200,7.4,7.4,7.5,495171184,50266,8.4,8.3,8.5,104236583,4627,4.7,4.6,4.9,153760575,7203,5.9,5.7,6,51025863,2220,4.5,4.3,4.7,6690089,376,5.9,5.3,6.6,United States,Nationwide
