GeoID,Years,GeoType,TotalPop,PctRural,PctMinority,PctHispanic,PctBlackNH,Pct_forborn,PctDisabled,PctEducLHS,PctEducBchPlus,Pct100Pov,PctNoHealthIns
29001,05yrs,County,25607,37.85,7.25,2.04,1.53,4.07,10.69,9.80,31.00,23.82,7.90
29001,10yrs,County,25607,37.85,7.25,2.04,1.53,3.62,10.03,11.20,29.80,24.97,9.70
29003,05yrs,County,17291,61.28,3.76,1.68,0.40,1.23,11.78,8.30,24.90,7.89,5.70
29003,10yrs,County,17291,61.28,3.76,1.68,0.40,0.86,11.57,8.80,23.65,8.62,8.20
29005,05yrs,County,5685,100.00,2.27,0.97,0.30,0.90,14.41,8.50,23.10,12.07,9.50
29005,10yrs,County,5685,100.00,2.27,0.97,0.30,0.53,13.93,9.80,22.25,11.91,11.05
29007,05yrs,County,25529,41.20,11.42,2.60,6.41,1.65,16.05,13.80,14.70,15.06,10.80
29007,10yrs,County,25529,41.20,11.42,2.60,6.41,1.49,16.22,14.40,13.50,16.25,12.45
29009,05yrs,County,35597,73.26,11.50,7.71,0.24,5.18,16.73,16.40,14.60,21.06,14.30
29009,10yrs,County,35597,73.26,11.50,7.71,0.24,4.92,16.21,17.40,13.95,20.53,16.35
29011,05yrs,County,12402,63.96,5.63,1.86,0.34,0.71,16.38,12.90,19.90,20.30,11.00
29011,10yrs,County,12402,63.96,5.63,1.86,0.34,1.45,16.17,13.65,17.60,21.26,11.50
29013,05yrs,County,17049,77.27,4.42,1.61,0.84,1.20,14.07,12.60,16.10,11.98,9.30
29013,10yrs,County,17049,77.27,4.42,1.61,0.84,0.99,16.60,14.25,14.10,16.17,12.25
29015,05yrs,County,19056,86.54,3.91,1.53,0.29,0.99,23.31,15.50,13.00,17.75,11.80
29015,10yrs,County,19056,86.54,3.91,1.53,0.29,0.86,21.70,15.20,12.40,18.71,12.95
29017,05yrs,County,12363,100.00,2.64,0.79,0.26,0.58,21.37,20.20,8.90,15.16,11.60
29017,10yrs,County,12363,100.00,2.64,0.79,0.26,0.62,21.67,20.05,10.20,18.57,11.55
