ZoneIDOrig,City
A9001zg,Lake Tapawingo
A9001zg,Independence
A9001zg,Blue Springs
A9001zg,Grain Valley
A9002zg,Asbury
A9002zg,Neck City
A9002zg,La Russell
A9002zg,Alba
A9002zg,Joplin
A9002zg,Webb City
A9002zg,Carterville
A9002zg,Carthage
A9002zg,Carytown
A9002zg,Purcell
A9002zg,Fidelity
A9002zg,Sarcoxie
A9002zg,Jasper
A9002zg,Duenweg
A9002zg,Oronogo
A9002zg,Carl Junction
A9003zg,Kansas City
A9003zg,Liberty
A9003zg,Smithville
A9003zg,Holt
A9003zg,Paradise
A9003zg,Excelsior Springs
A9003zg,Kearney
A9003zg,Lawson
A9003zg,Mosby
A9005zg,Kansas City
A9005zg,Grandview
A9006zg,Kansas City
A9007zg,Springfield
A9008zg,Strafford
A9008zg,Ash Grove
A9008zg,Rogersville
A9008zg,Willard
A9008zg,Springfield
A9008zg,Republic
A9008zg,Walnut Grove
A9008zg,Fair Grove
A9009zg,Kansas City
A9010zg,Arnold
A9010zg,Murphy
A9010zg,High Ridge
A9011zg,St. Louis
A9012zg,Pevely
A9012zg,Arnold
A9012zg,Herculaneum
A9012zg,Imperial
A9012zg,Barnhart
A9013zg,St. Louis
A9014zg,Glasgow Village
A9014zg,Moline Acres
A9014zg,Spanish Lake
A9014zg,Bellefontaine Neighbors
A9014zg,Black Jack
A9014zg,Florissant
A9014zg,Riverview
A9014zg,Castle Point
A9016zg,Joplin
A9016zg,Webb City
A9016zg,Duquesne
A9016zg,Airport Drive
A9016zg,Duenweg
A9017zg,St. Louis
A9018zg,Columbia
A9019zg,Town and Country
A9019zg,Creve Coeur
A9019zg,Maryland Heights
A9019zg,Chesterfield
A9019zg,Champ
A9020zg,St. Louis
A9021zg,Kansas City
A9021zg,Gladstone
A9021zg,North Kansas City
A9022zg,Green Park
A9022zg,Mehlville
A9022zg,Affton
A9022zg,Concord
A9022zg,Oakville
A9023zg,Wildwood
A9023zg,Des Peres
A9023zg,Eureka
A9023zg,Kirkwood
A9023zg,Manchester
A9023zg,Valley Park
A9023zg,Pacific
A9024zg,Foristell
A9024zg,O'Fallon
A9024zg,Lake St. Louis
A9024zg,New Melle
A9024zg,St. Paul
A9024zg,Flint Hill
A9024zg,Defiance
A9024zg,Wentzville
A9024zg,Augusta
A9025zg,Springfield
A9026zg,Westwood
A9026zg,Frontenac
A9026zg,Town and Country
A9026zg,Creve Coeur
A9026zg,Glendale
A9026zg,Des Peres
A9026zg,Huntleigh
A9026zg,Kirkwood
A9026zg,Manchester
A9027zg,Calverton Park
A9027zg,Woodson Terrace
A9027zg,Bridgeton
A9027zg,Dellwood
A9027zg,Ferguson
A9027zg,Kinloch
A9027zg,Bel-Ridge
A9027zg,Berkeley
A9027zg,Cool Valley
A9027zg,Florissant
A9027zg,Hazelwood
A9027zg,St. Ann
A9027zg,St. John
A9028zg,St. Louis
A9029zg,Springfield
A9030zg,Battlefield
A9030zg,Springfield
A9030zg,Republic
A9031zg,Lake St. Clair
A9031zg,Miramiguoa Park
A9031zg,Oak Grove Village
A9031zg,Stanton
A9031zg,Sullivan
A9031zg,Gray Summit
A9031zg,Union
A9031zg,St. Clair
A9031zg,Pacific
A9031zg,Parkway
A9032zg,Summer Set
A9032zg,Hillsboro
A9032zg,Scotsdale
A9032zg,De Soto
A9032zg,Eureka
A9032zg,LaBarque Creek
A9032zg,Raintree Plantation
A9032zg,Briarwood Estates
A9032zg,Cedar Hill
A9033zg,Lemay
A9033zg,Mehlville
A9033zg,Affton
A9033zg,Oakville
A9034zg,Town and Country
A9034zg,Wildwood
A9034zg,Ellisville
A9034zg,Chesterfield
A9034zg,Manchester
A9034zg,Ballwin
A9035zg,Unity Village
A9035zg,Kansas City
